******Format of cpu stats log file: Date/Time     CPU Temp        Load Average    CPU Frequency   Governor***
Thu Apr 22 22:00:01 PDT 2010  34        8.64 8.50 6.40 10/174 13206        500000        userspace
Thu Apr 22 22:00:07 PDT 2010  34        8.59 8.49 6.41 10/174 13212        500000        userspace
Thu Apr 22 22:00:12 PDT 2010  34        8.63 8.50 6.42 10/174 13218        500000        userspace
Thu Apr 22 22:00:17 PDT 2010  34        8.58 8.49 6.43 11/174 13224        500000        userspace
Thu Apr 22 22:00:23 PDT 2010  34        8.61 8.50 6.44 10/174 13230        500000        userspace
Thu Apr 22 22:00:28 PDT 2010  34        8.72 8.52 6.46 10/174 13236        500000        userspace
Thu Apr 22 22:00:33 PDT 2010  34        8.66 8.51 6.47 10/174 13242        500000        userspace
Thu Apr 22 22:00:39 PDT 2010  34        8.61 8.51 6.48 11/174 13248        500000        userspace
Thu Apr 22 22:00:44 PDT 2010  34        8.56 8.50 6.49 10/174 13254        500000        userspace
Thu Apr 22 22:00:49 PDT 2010  34        8.76 8.54 6.51 10/174 13260        500000        userspace
Thu Apr 22 22:00:54 PDT 2010  34        8.71 8.54 6.53 10/174 13266        500000        userspace
Thu Apr 22 22:01:00 PDT 2010  34        8.66 8.53 6.54 10/174 13272        500000        userspace
Thu Apr 22 22:01:05 PDT 2010  34        8.60 8.52 6.55 10/174 13281        500000        userspace
Thu Apr 22 22:01:11 PDT 2010  34        8.63 8.53 6.56 10/174 13287        500000        userspace
Thu Apr 22 22:01:16 PDT 2010  34        8.58 8.52 6.57 10/174 13293        500000        userspace
Thu Apr 22 22:01:21 PDT 2010  34        8.54 8.51 6.57 10/174 13299        500000        userspace
Thu Apr 22 22:01:26 PDT 2010  34        8.49 8.50 6.58 10/174 13305        500000        userspace
Thu Apr 22 22:01:32 PDT 2010  34        8.61 8.52 6.60 10/174 13311        500000        userspace
Thu Apr 22 22:01:37 PDT 2010  34        8.72 8.55 6.62 10/174 13317        500000        userspace
Thu Apr 22 22:01:42 PDT 2010  34        8.67 8.54 6.62 10/174 13323        500000        userspace
Thu Apr 22 22:01:47 PDT 2010  34        8.61 8.53 6.63 9/174 13329        500000        userspace
Thu Apr 22 22:01:53 PDT 2010  34        8.56 8.52 6.64 10/174 13335        500000        userspace
Thu Apr 22 22:01:58 PDT 2010  34        8.52 8.51 6.65 10/174 13341        500000        userspace
Thu Apr 22 22:02:03 PDT 2010  34        8.56 8.52 6.66 10/174 13350        500000        userspace
Thu Apr 22 22:02:08 PDT 2010  34        8.51 8.51 6.67 10/174 13356        500000        userspace
Thu Apr 22 22:02:14 PDT 2010  34        8.71 8.55 6.69 10/174 13362        500000        userspace
