******Format of cpu stats log file: Date/Time     CPU Temp        Load Average    CPU Frequency   Governor***
Thu Apr 22 23:41:26 CDT 2010  58        11.62 11.67 8.10 13/228 8673        800000        userspace
Thu Apr 22 23:41:31 CDT 2010  58        11.89 11.73 8.14 16/235 8686        800000        userspace
Thu Apr 22 23:41:37 CDT 2010  58        12.13 11.79 8.19 15/234 8693        800000        userspace
Thu Apr 22 23:41:42 CDT 2010  58        12.12 11.79 8.21 13/233 8700        800000        userspace
Thu Apr 22 23:41:47 CDT 2010  58        11.95 11.76 8.22 13/233 8706        800000        userspace
Thu Apr 22 23:41:53 CDT 2010  58        12.12 11.80 8.25 12/233 8712        800000        userspace
Thu Apr 22 23:41:58 CDT 2010  58        12.03 11.78 8.27 13/233 8718        800000        userspace
Thu Apr 22 23:42:04 CDT 2010  58        11.94 11.77 8.28 12/233 8724        800000        userspace
Thu Apr 22 23:42:09 CDT 2010  58        11.79 11.74 8.29 13/233 8730        800000        userspace
Thu Apr 22 23:42:14 CDT 2010  58        10.84 11.55 8.25 3/233 8738        800000        userspace
Thu Apr 22 23:42:20 CDT 2010  52        9.97 11.35 8.20 3/233 8744        800000        userspace
Thu Apr 22 23:42:25 CDT 2010  52        9.18 11.17 8.16 5/233 8750        800000        userspace
Thu Apr 22 23:42:30 CDT 2010  52        8.44 10.98 8.11 4/233 8756        800000        userspace
Thu Apr 22 23:42:35 CDT 2010  52        7.77 10.80 8.07 3/233 8762        800000        userspace
Thu Apr 22 23:42:40 CDT 2010  51        7.46 10.68 8.05 2/233 8768        800000        userspace
Thu Apr 22 23:42:45 CDT 2010  51        6.87 10.51 8.00 3/233 8775        800000        userspace
Thu Apr 22 23:42:50 CDT 2010  51        6.32 10.33 7.96 4/233 8781        800000        userspace
Thu Apr 22 23:42:55 CDT 2010  51        5.97 10.19 7.93 5/233 8804        800000        userspace
Thu Apr 22 23:43:00 CDT 2010  51        5.49 10.02 7.89 4/233 8810        800000        userspace
Thu Apr 22 23:43:05 CDT 2010  51        5.05 9.86 7.84 6/233 8818        800000        userspace
Thu Apr 22 23:43:10 CDT 2010  51        4.65 9.69 7.80 3/233 8824        800000        userspace
Thu Apr 22 23:43:15 CDT 2010  49        4.27 9.53 7.76 3/233 8832        800000        userspace
Thu Apr 22 23:43:20 CDT 2010  49        3.93 9.37 7.72 3/233 8838        800000        userspace
Thu Apr 22 23:43:25 CDT 2010  49        3.62 9.22 7.67 3/233 8844        800000        userspace
Thu Apr 22 23:43:30 CDT 2010  49        3.33 9.06 7.63 3/233 8850        800000        userspace
Thu Apr 22 23:43:35 CDT 2010  49        3.06 8.91 7.59 3/233 8856        800000        userspace
Thu Apr 22 23:43:40 CDT 2010  49        2.81 8.76 7.55 4/233 8862        800000        userspace
Thu Apr 22 23:43:46 CDT 2010  49        2.67 8.64 7.52 2/233 8868        800000        userspace
Thu Apr 22 23:43:51 CDT 2010  49        2.54 8.51 7.48 4/233 8875        800000        userspace
Thu Apr 22 23:43:56 CDT 2010  49        2.33 8.37 7.44 4/233 8881        800000        userspace
Thu Apr 22 23:44:01 CDT 2010  49        2.15 8.23 7.40 3/233 8887        800000        userspace
Thu Apr 22 23:44:06 CDT 2010  49        1.97 8.09 7.36 1/233 8893        800000        userspace
Thu Apr 22 23:44:11 CDT 2010  48        1.82 7.96 7.32 4/233 8900        800000        userspace
Thu Apr 22 23:44:16 CDT 2010  49        1.67 7.82 7.28 5/233 8906        800000        userspace
Thu Apr 22 23:44:21 CDT 2010  48        1.54 7.69 7.24 2/233 8912        800000        userspace
Thu Apr 22 23:44:26 CDT 2010  48        1.41 7.57 7.20 3/233 8919        800000        userspace
Thu Apr 22 23:44:31 CDT 2010  48        1.30 7.44 7.16 3/233 8925        800000        userspace
Thu Apr 22 23:44:36 CDT 2010  48        1.20 7.32 7.12 3/233 8931        800000        userspace
Thu Apr 22 23:44:41 CDT 2010  49        1.10 7.19 7.09 4/233 8938        800000        userspace
Thu Apr 22 23:44:46 CDT 2010  49        1.01 7.08 7.05 2/233 8944        800000        userspace
Thu Apr 22 23:44:51 CDT 2010  49        0.93 6.96 7.01 2/233 8950        800000        userspace
Thu Apr 22 23:44:56 CDT 2010  48        0.85 6.84 6.97 2/233 8956        800000        userspace
